artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Mary J. Blige,Talk To Me,18dEP0IHWuFHhRm6G0qryN,21,2007,soul,0.495,0.54,6,-7.806,0,0.135,0.122,0.0,0.1,0.543,109.258,249493,3
Mats Rådberg,Den vita duvan,6DC3vVBzTjvmHStSbP8CYp,12,2002,swedish,0.688,0.665,0,-10.403,1,0.0274,0.312,0.0,0.155,0.903,121.266,191760,4
Matt Braunger,An Elevator Ride in Dallas,5ZGxwYG3fdkSmv9MHcyYSX,12,2019,comedy,0.617,0.498,6,-12.61,0,0.932,0.752,0.0,0.732,0.601,73.082,267478,3
Venetian Snares,Unborn Baby,1K4yy805giTrT8xssyM1kw,7,2001,techno,0.554,0.977,10,2.941,0,0.0761,0.000201,0.139,0.284,0.169,108.994,206133,4
Boccherini Guitar Quartet,We Three Kings,6ys07JciKt4RehWndNWhbp,3,2001,guitar,0.513,0.141,9,-16.347,0,0.0919,0.971,0.852,0.117,0.164,174.116,164326,3
Ahmed Xelil,Kale,04QwlK04Q6q6NiUPF9mg7x,1,2000,k-pop,0.625,0.88,0,-2.745,0,0.0548,0.00843,0.00225,0.197,0.667,128.623,132599,4
HotCha,Are You Still My Best Friend,0bBcCTXW1gm8ZGqULkYCgH,5,2018,cantopop,0.718,0.482,4,-9.23,1,0.0458,0.315,0.0,0.21,0.432,124.052,201392,4
Anuar Zain,Ketulusan Hati,0ZB5IGGmc05zjiKg4uTlb3,33,2007,k-pop,0.274,0.313,7,-7.963,0,0.0289,0.85,2.06e-05,0.26,0.189,144.877,280613,4
Roger Alan Wade,Fryin' Bacon Neddid,5lHT8XiTG62QxmZRS76UWW,24,2005,country,0.497,0.24,4,-13.469,1,0.0573,0.858,0.0,0.587,0.694,155.051,156107,4
Gayngs,The Walker,4PAfdUEDEFShMfIyZlrEqU,21,2010,chill,0.439,0.404,4,-11.815,0,0.0389,0.577,0.759,0.0767,0.133,137.915,290587,4
Skapulario,Sobre Mi,0wVS2IQ2l5ADseSNAAI1wU,6,2017,ska,0.523,0.865,2,-8.311,1,0.0576,0.0173,9.82e-05,0.0723,0.557,186.888,245134,4
Sumi Jo,Your Love,36qiwO5XKK0hEV5LSL6TnT,7,2019,opera,0.16,0.25,2,-11.932,1,0.0353,0.953,0.745,0.0625,0.0361,91.446,233813,3
Spring Boutique,Summer Valentine,3KLCF5Xuo4R5kQ1h5GJiwX,0,2003,club,0.568,0.749,9,-8.195,1,0.0293,0.0464,0.0268,0.112,0.635,126.229,188680,4
Martin Bravi,Safe And Sound,2pA8p8deZNIYNDxCt5XkwT,55,2022,hardstyle,0.654,0.666,5,-3.504,1,0.0731,0.00496,0.000389,0.369,0.449,160.023,100500,3
Bud Powell,52nd Street Theme - Rudy Van Gelder Edition/1998 Digital Remaster,0oDgc718NJn7CyiClFRExR,32,2001,jazz,0.541,0.59,7,-7.876,1,0.0996,0.845,0.0764,0.199,0.854,71.289,169880,4
Free Throw,"Smokes, Let's Go",2S7eMWTrXqqxNfaGn3hRMo,30,2019,emo,0.507,0.476,11,-6.332,1,0.0352,0.0581,3.1e-06,0.111,0.226,136.942,193200,4
Chris Keya,Overlords,44a2WB0KkNw4ZBh2HBrW1t,19,2022,club,0.35,0.884,1,-7.183,1,0.0364,0.000137,0.901,0.0851,0.0361,199.988,210007,4
Simon King,Dumb Privilege,1y3n7N0HWIdVnmRrlfdS61,4,2022,comedy,0.617,0.729,2,-6.098,1,0.797,0.649,0.0,0.947,0.74,83.244,339565,3
