Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Mood
1012733,Gene Loves Jezebel,New Horizons,0wG945REHWdLUUHkJBgkMq,4,2005,goth,0.453,0.512,4,-9.812,1,0.039,0.00465,0.192,0.104,0.446,115.691,220267,4,Calm
1272160,Axwell,Leave The World Behind - Radio Edit,25ZEYUgCJyf3gRxkqYbkIc,57,2009,dance,0.525,0.849,10,-7.727,0,0.0484,0.00232,0.00196,0.322,0.277,128.055,161719,4,Energetic
408495,deadmau5,invidia (ov) - No Mana Remix,6cseKlVKt45Mm2yTYp27D1,24,2019,progressive-house,0.749,0.49,1,-11.484,0,0.0589,0.0382,0.843,0.0817,0.052,127.998,279047,4,Calm
243863,Megadriver,La Leyenda De Sonic,6W5mfIPUuBp8LDkcQ3xQ8T,1,2016,heavy-metal,0.418,0.963,11,-3.914,0,0.177,0.00147,0.0,0.911,0.0838,112.512,159000,4,Calm
71271,Peshay,Never Let You Go,2yiZ5X0JukEMgVZOWNqrcB,0,2013,drum-and-bass,0.713,0.543,11,-6.852,0,0.0315,0.054,0.348,0.291,0.688,94.989,282413,4,Calm
459095,Dominik Eulberg,Spatz Bei Seite,6shneQaD0ZfM7Zwpl0IlzW,12,2020,minimal-techno,0.662,0.423,2,-13.622,0,0.0394,0.294,0.895,0.329,0.15,95.013,389053,4,Calm
927740,BOYZ,U2,4a1WZHs7iAqZvsLbw3jwGV,1,2004,cantopop,0.644,0.65,3,-7.613,1,0.0257,0.24,2.32e-05,0.127,0.473,139.965,203173,4,Calm
343616,Psychostick,Uhhhnngg,6GRDKosR8cUPfQQ530IAXs,12,2018,industrial,0.507,0.551,1,-12.747,0,0.0633,0.515,0.00254,0.875,0.648,110.539,53640,4,Calm
1138136,John Dahlbäck,Everywhere - D.O.N.S. Meets DBN in the Box Remix,6UkS8xYRxCfrP3blGnONpo,15,2007,edm,0.788,0.573,7,-10.205,0,0.0774,0.000989,0.343,0.109,0.0349,127.007,508447,4,Calm
62037,Synthetic Epiphany,Visiting Hours,6Uw6NGR8nJtVsE7GMNSkXl,32,2013,chill,0.314,0.551,5,-13.271,0,0.0703,0.000628,0.885,0.103,0.16,167.787,233195,3,Calm
124691,Need For Mirrors,Mermaids,36S4oCJ2jqBQ0xhBOUemlH,0,2014,drum-and-bass,0.659,0.83,6,-6.224,0,0.0566,1.58e-05,0.871,0.379,0.521,172.07,366977,4,Energetic
877637,Forrozão Tropykalia,Os Corações Não São Iguais,0br3dqW8Qz5q5Zuz8s6ORm,3,2003,forro,0.492,0.957,10,-3.011,0,0.0648,0.101,0.0,0.337,0.712,107.065,164880,4,Happy
299810,Antonio Cartagena,Cómo Quisiera Decirle,4utXQHvwntqyB4N5CsPMjH,18,2017,salsa,0.698,0.809,2,-6.947,1,0.034,0.46,7.54e-06,0.0735,0.94,166.935,320496,4,Happy
818143,The Jon Spencer Blues Explosion,Mean Heart,55mrXVGFhYJXlsdWGEh8My,5,2002,garage,0.483,0.95,2,-5.32,1,0.0826,0.000836,3.75e-05,0.124,0.289,122.847,266067,4,Energetic
763727,The Bouncing Souls,Manthem,5pSjxUAwOol5e0TWp1ecHC,45,2001,hardcore,0.524,0.986,2,-2.865,1,0.0634,9.44e-05,0.000214,0.0772,0.724,94.348,188973,4,Happy
363831,Francisco Fiorentino,Oro Falso - Remastered,1kw4kWJqdjooNktSfJEPEV,0,2018,tango,0.39,0.376,7,-9.002,1,0.0385,0.751,0.643,0.0905,0.521,129.306,197564,4,Calm
176999,New Years Day,Anthem of the Unwanted,4wON9dBKUHOnyYBXRDmNWF,22,2015,emo,0.477,0.984,2,-2.923,1,0.163,6.88e-05,1.29e-06,0.342,0.386,160.192,210320,4,Energetic
448008,The Pine Hill Haints,Cough Drops and Teardrops,4uYo4q2dvfYx30HK49zT4V,3,2020,goth,0.352,0.639,9,-8.625,1,0.188,0.584,0.0,0.675,0.828,204.88,75613,4,Calm
1347428,Deniece Williams,Let's Hear It for the Boy,1y8TSlMsECCLQEQiw0WkSc,39,2010,disco,0.774,0.462,7,-12.758,1,0.056,0.161,0.00022,0.0433,0.818,122.787,260933,4,Calm
965913,Bharadwaj,Pollachi Ilaneere,11uTx0GOdscRptHMzR9iRB,28,2004,pop-film,0.756,0.701,7,-12.581,0,0.0531,0.0784,1.46e-05,0.156,0.886,113.96,238360,3,Happy
125316,Sullivan King,112 Ounces of Pudding,2DoZBW12AWSVyX3KnyjtxA,9,2014,dub,0.421,0.994,0,-4.524,1,0.282,0.016,0.11,0.251,0.345,174.066,204320,4,Energetic
350858,Raj Barman,Keno Je Toke,45KKqM1eHEHqYbg1KXVqoH,35,2018,pop-film,0.586,0.682,10,-7.304,0,0.0318,0.243,0.0,0.12,0.655,115.93,292850,4,Calm
1280226,Gabry Ponte,Vivi nell aria - Filo S rmx,5UYecEfSC8AzRXAY6Mtd2k,5,2009,edm,0.782,0.734,2,-4.094,1,0.0346,0.497,7.2e-06,0.058,0.651,119.974,213104,4,Happy
744496,The Gourds,Omaha,54V6fIIncWS9jwnkGkVtdT,14,2001,country,0.541,0.734,4,-8.51,1,0.0331,0.0593,0.0,0.086,0.879,134.62,195067,4,Happy
254402,¡ESSO! Afrojam Funkbeat,Baila,7g8hauFJiiZVdqdDUqvq1T,2,2017,afrobeat,0.707,0.737,11,-6.415,0,0.152,0.0995,0.00523,0.0468,0.692,190.007,250187,4,Happy
1248840,João Martins,Bom Gosto,6m8Lqkjbz8SMqj7a5cqMrv,16,2008,samba,0.65,0.667,10,-7.236,1,0.083,0.574,0.0,0.149,0.878,100.123,211653,4,Calm
103907,Nature Sounds,Nature Sounds Rain 6,2X6SU5rgOdYlcNQBJ4dnzx,3,2013,sleep,0.184,0.0432,1,-41.775,1,0.0561,0.00957,0.897,0.18,0.0852,105.61,348475,4,Calm
